step, bot.name, bot.movementDirection, bot.linearVelocity, bot.joints
27,Bot2,(-0.456581, 0.889682),(51.82693, 6.708251),Bot1,Bot4,
27,Bot3,(-0.963841, -0.266477),(-52.9728, 15.56873),Bot1,Bot4,
27,Bot4,(0.978075, 0.208251),(37.96502, -3.565614),Bot2,Bot3,
27,Bot5,(0.959583, -0.281428),(26.01471, -48.59407),
27,Bot6,(-0.935939, 0.352163),(29.52224, 149.9786),
27,Bot7,(-0.327402, -0.944885),(-187.8221, 19.50771),
27,Bot8,(0.395602, -0.918422),(54.98639, -108.355),
27,Bot9,(-0.302708, -0.953083),(-58.21291, 28.37368),
27,Bot10,(0.930747, -0.365665),(5.363604, -205.5936),
27,Bot11,(0.998534, -0.054124),(-17.73459, -1.002463),
27,Bot12,(0.959521, -0.281637),(-12.31299, -62.02432),
28,Bot1,(-0.87002, -0.493017),(15.54909, 33.98193),Bot2,Bot3,
28,Bot2,(-0.456581, 0.889682),(41.4785, 6.138333),Bot1,Bot4,
28,Bot3,(-0.963841, -0.266477),(-49.9964, 16.23863),Bot1,Bot4,
28,Bot4,(0.978075, 0.208251),(27.52035, 3.538786),Bot2,Bot3,
28,Bot5,(0.959583, -0.281428),(34.98622, -53.10009),
28,Bot6,(-0.935939, 0.352163),(20.90426, 151.7617),
28,Bot7,(-0.327402, -0.944885),(-159.8837, 19.0768),
28,Bot8,(0.395602, -0.918422),(60.56844, -116.2344),
28,Bot9,(-0.302708, -0.953083),(-62.60608, 19.36403),
28,Bot10,(0.930747, -0.365665),(14.32282, -208.6876),
28,Bot11,(0.998534, -0.054124),(-16.20543, 1.561632),
28,Bot12,(0.959521, -0.281637),(-3.101024, -66.27185),
29,Bot1,(-0.87002, -0.493017),(13.02934, 26.86114),Bot2,Bot3,
29,Bot2,(-0.456581, 0.889682),(31.19629, 6.679568),Bot1,Bot4,
29,Bot3,(-0.963841, -0.266477),(-46.85397, 15.73099),Bot1,Bot4,
